year,make,model,class,enginesize,fuelusecity,fuelusehwy,fueluseboth,mpgboth,co2emissions,cylinders468,cylinder4,cylinder6,cylinder8,trans2,fuel
2015,BMW,X3 xDRIVE28i,SUV - SMALL,2,11.1000003814697,8.39999961853027,9.89999961853027,29,228,4,1,0,0,1,2
2015,BMW,X3 xDRIVE35i,SUV - SMALL,3,12.6999998092651,8.80000019073486,10.8999996185303,26,251,6,0,1,0,1,2
2015,BMW,X4 xDRIVE28i,SUV - SMALL,2,11.6999998092651,8.39999961853027,10.1999998092651,28,235,4,1,0,0,1,2
2015,BMW,X4 xDRIVE35i,SUV - SMALL,3,12.6999998092651,8.80000019073486,10.8999996185303,26,251,6,0,1,0,1,2
2015,BMW,X5 M,SUV - STANDARD,4.40000009536743,16.6000003814697,12.1000003814697,14.6000003814697,19,336,8,0,0,1,1,2
2015,BMW,X5 xDRIVE35d,SUV - STANDARD,3,9.89999961853027,7.19999980926514,8.69999980926514,32,235,6,0,1,0,1,3
2015,BMW,X5 xDRIVE35i,SUV - STANDARD,3,13,8.89999961853027,11.1000003814697,25,255,6,0,1,0,1,2
2015,BMW,X5 xDRIVE50i,SUV - STANDARD,4.40000009536743,16.1000003814697,10.8999996185303,13.8000001907349,20,317,8,0,0,1,1,2
2015,BMW,X6 M,SUV - STANDARD,4.40000009536743,16.6000003814697,12.1000003814697,14.6000003814697,19,336,8,0,0,1,1,2
2015,BMW,X6 xDRIVE35i,SUV - STANDARD,3,13,8.89999961853027,11.1000003814697,25,255,6,0,1,0,1,2
2015,BMW,X6 xDRIVE50i,SUV - STANDARD,4.40000009536743,16.1000003814697,10.8999996185303,13.8000001907349,20,317,8,0,0,1,1,2
2015,BMW,Z4 sDRIVE28i,TWO-SEATER,2,10.6999998092651,7.09999990463257,9.10000038146973,31,209,4,1,0,0,1,2
2015,BMW,Z4 sDRIVE28i,TWO-SEATER,2,10.6999998092651,6.90000009536743,9,31,207,4,1,0,0,2,2
2015,BMW,Z4 sDRIVE35i,TWO-SEATER,3,13.6999998092651,10,12.1000003814697,23,278,6,0,1,0,1,2
2015,BMW,Z4 sDRIVE35i,TWO-SEATER,3,12.6999998092651,9,11,26,253,6,0,1,0,2,2
2015,BMW,Z4 sDRIVE35is,TWO-SEATER,3,13.6999998092651,10,12.1000003814697,23,278,6,0,1,0,1,2
2015,BUICK,ENCLAVE,SUV - STANDARD,3.59999990463257,14.1999998092651,9.89999961853027,12.3000001907349,23,283,6,0,1,0,1,1
2015,BUICK,ENCLAVE AWD,SUV - STANDARD,3.59999990463257,14.6000003814697,10.1999998092651,12.6000003814697,22,290,6,0,1,0,1,1
2015,BUICK,ENCORE,SUV - SMALL,1.39999997615814,9.5,7.19999980926514,8.5,33,196,4,1,0,0,1,1
2015,BUICK,ENCORE AWD,SUV - SMALL,1.39999997615814,10.1999998092651,8,9.19999980926514,31,212,4,1,0,0,1,1
2015,BUICK,LACROSSE,MID-SIZE,3.59999990463257,13.6999998092651,8.60000038146973,11.3999996185303,25,262,6,0,1,0,1,1
2015,BUICK,LACROSSE,MID-SIZE,3.59999990463257,18.7000007629395,12.3999996185303,15.8000001907349,18,253,6,0,1,0,1,4
2015,BUICK,LACROSSE AWD,MID-SIZE,3.59999990463257,13.8999996185303,9.10000038146973,11.6999998092651,24,269,6,0,1,0,1,1
2015,BUICK,LACROSSE AWD,MID-SIZE,3.59999990463257,18.6000003814697,12.6000003814697,15.8999996185303,18,254,6,0,1,0,1,4
2015,BUICK,LACROSSE eASSIST,MID-SIZE,2.40000009536743,9.60000038146973,6.5,8.19999980926514,34,189,4,1,0,0,1,1
2015,BUICK,REGAL,MID-SIZE,2,11.3999996185303,7.90000009536743,9.80000019073486,29,225,4,1,0,0,1,2
2015,BUICK,REGAL,MID-SIZE,2,11.6000003814697,7.59999990463257,9.80000019073486,29,225,4,1,0,0,2,2
2015,BUICK,REGAL AWD,MID-SIZE,2,12.3999996185303,8.69999980926514,10.6999998092651,26,246,4,1,0,0,1,2
2015,BUICK,REGAL eASSIST,MID-SIZE,2.40000009536743,9.60000038146973,6.5,8.19999980926514,34,189,4,1,0,0,1,1
2015,BUICK,VERANO,COMPACT,2,11.3999996185303,7.90000009536743,9.80000019073486,29,225,4,1,0,0,1,2
2015,BUICK,VERANO,COMPACT,2,11.6000003814697,7.59999990463257,9.80000019073486,29,225,4,1,0,0,2,2
2015,BUICK,VERANO,COMPACT,2.40000009536743,11.1000003814697,7.40000009536743,9.39999961853027,30,216,4,1,0,0,1,1
2015,CADILLAC,ATS,COMPACT,2,11.1000003814697,7.90000009536743,9.69999980926514,29,223,4,1,0,0,1,2
2015,CADILLAC,ATS,COMPACT,2,12.1999998092651,7.90000009536743,10.3000001907349,27,237,4,1,0,0,2,2
2015,CADILLAC,ATS,COMPACT,2.5,11.1000003814697,7.19999980926514,9.30000019073486,30,214,4,1,0,0,1,1
2015,CADILLAC,ATS,COMPACT,3.59999990463257,12.8000001907349,8.39999961853027,10.8000001907349,26,248,6,0,1,0,1,1
2015,CADILLAC,ATS AWD,COMPACT,2,11.5,8.5,10.1999998092651,28,235,4,1,0,0,1,2
2015,CADILLAC,ATS AWD,COMPACT,3.59999990463257,12.8000001907349,8.89999961853027,11,26,253,6,0,1,0,1,1
2015,CADILLAC,CTS,MID-SIZE,2,11.5,7.90000009536743,9.89999961853027,29,228,4,1,0,0,1,2
2015,CADILLAC,CTS,MID-SIZE,3.59999990463257,12.8000001907349,8.19999980926514,10.6999998092651,26,246,6,0,1,0,1,1
2015,CADILLAC,CTS AWD,MID-SIZE,2,12.3000001907349,8.5,10.6000003814697,27,244,4,1,0,0,1,2
2015,CADILLAC,CTS AWD,MID-SIZE,3.59999990463257,12.8000001907349,8.89999961853027,11,26,253,6,0,1,0,1,1
2015,CADILLAC,CTS Vsport,MID-SIZE,3.59999990463257,15.1000003814697,9.89999961853027,12.6999998092651,22,292,6,0,1,0,1,2
2015,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.19999980926514,16.2000007629395,11.3999996185303,14,20,322,8,0,0,1,1,2
2015,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.19999980926514,15.8999996185303,11.1000003814697,13.8000001907349,20,317,8,0,0,1,1,2
2015,CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.19999980926514,16.7999992370605,11.6999998092651,14.5,19,334,8,0,0,1,1,2
2015,CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.19999980926514,16.3999996185303,11.6999998092651,14.3000001907349,20,329,8,0,0,1,1,2
